id	entry	note	CNRTL	idno type=Wikidata	note type=Mariette
CoEg_entry_00000001	simoun	De l’arabe سَمُوم‎ [samūm]. Vent chaud, sec et violent qui souffle sur les côtes orientales de la mer Méditerranée : au Sahara, en Palestine, en Syrie et dans le désert d’Arabie	https://www.cnrtl.fr/definition/simoun	https://www.wikidata.org/wiki/Q646585	Mariette utilise le terme avec une majuscule
CoEg_entry_00000002	pacha	Du turc ottoman پاشا‎ [pāšā]. Désigne les plus hauts dignitaires et les souverains. Porté après le nom	https://www.cnrtl.fr/definition/pacha	https://www.wikidata.org/wiki/Q184951	
CoEg_entry_00000003	bey	Du turc ottoman بك [beg] « seigneur ». Titre honorifique ottoman. Les officiers civils et militaires le portent après leur nom	https://www.cnrtl.fr/definition/bey	https://www.wikidata.org/wiki/Q181217	Quand il est porté après le nom, Mariette le joint par un tiret, sans majuscule
CoEg_entry_00000004	moudir	De l'arabe مُدِير‎ [mudīr] « directeur ». Gouverneur ottoman	https://www.cnrtl.fr/definition/moudir		
CoEg_entry_00000005	firman	Du turc ottoman فرمان [fermān] « ordre, décret ». Autorisation officielle quelconque	https://www.cnrtl.fr/definition/firman	https://www.wikidata.org/wiki/Q1130651	
CoEg_entry_00000006	drogman	De l'arabe تُرْجُمَان [turjuman] « guide, interprète ». Agent auxiliaire des consulats ou des étrangers en voyage	https://www.cnrtl.fr/definition/drogman	https://www.wikidata.org/wiki/Q1136290	
CoEg_entry_00000007	divan	Du persan  دیوان [dīwān] « rassemblement, réunion, conseil ». Administration, gouvernement	https://www.cnrtl.fr/definition/divan	https://www.wikidata.org/wiki/Q830104	
CoEg_entry_00000008	para	Pièce ottomane de petite monnaie en cuivre	https://www.cnrtl.fr/definition/para	https://www.wikidata.org/wiki/Q928186	
CoEg_entry_00000009	fellah	De l'arabe فَلَّاح‎ [fallāḥ], « paysan »	https://www.cnrtl.fr/definition/fellah	https://www.wikidata.org/wiki/Q685896	
CoEg_entry_00000010	effendi	Du turc ottoman افندی‎ [efendi]. Titre de respect et de courtoisie, notamment propre aux lettrés	https://www.cnrtl.fr/definition/effendi	https://www.wikidata.org/wiki/Q321803	
CoEg_entry_00000011	proscynème	Du grec ancien προσκύνημα [proskynèma] « adoration ». Désigne les formules d’offrandres et les stèles qui les portent			
CoEg_entry_00000012	dahabieh	De l'arabe ذَهَبِيَّة [ḍahabiyyah] « dorée ». Embarcation nilotique à faible tirant d’eau et naviguant à l’aide de deux mâts à voile latine	https://www.cnrtl.fr/definition/dahabieh	https://www.wikidata.org/wiki/Q441975	
CoEg_entry_00000013	arnaoute	Du turc ottoman آرناوود [ārnāvut] « Albanais », notamment des guerriers formant des corps mercenaires dans le monde ottoman		https://www.wikidata.org/wiki/Q2863045	
CoEg_entry_00000014	fantasia	Jeu équestre	https://www.cnrtl.fr/definition/fantasia	https://www.wikidata.org/wiki/Q1395855	
CoEg_entry_00000015	djirid	Jeu équestre		https://www.wikidata.org/wiki/Q362605	
CoEg_entry_00000016	cheikh el-beled	De l'arabe شَيْخ الْبَلَد‎ [šayḫ al-balad], « chef de village »			
CoEg_entry_00000017	medjidie	Du turc ottoman مجیدی [mejīdī] « de (Abdül)-Mecid (II) », pièce de monnaie ottomane d'argent			Mariette semble écrire "midjidi"
CoEg_entry_00000018	ad hoc	Du latin, « à cet effet »	https://www.cnrtl.fr/definition/ad hoc	https://www.wikidata.org/wiki/Q192683	
CoEg_entry_00000019	cawass	De l'arabe قَوَّاس [qawwās] (Thatcher, G. W., Arabic grammar of the written language, Londres – Heidelberg, 1911, p. 271), huissier	https://www.cnrtl.fr/definition/cawas		
CoEg_entry_00000020	reïs	De l'arabe  رَئِيس‎ [rays], « chef » (notamment les chefs d'équipes sur les chantiers de fouilles)	https://www.cnrtl.fr/definition/reis		
CoEg_entry_00000021	moudiriah	Province dirigée par un moudir ; siège de l'administration correspondante			
CoEg_entry_00000022	Pasteurs	Traduction fautive donnée par Manéthon du therme « Hyksos » (qui lui est désormais préféré)		https://www.wikidata.org/wiki/Q192319	
CoEg_entry_00000023	Tybi (mois)	Premier mois de la saison de la germination		https://www.wikidata.org/wiki/Q290480	
CoEg_entry_00000024	Thot (mois)	Premier mois de la saison de l'inondation		https://www.wikidata.org/wiki/Q577200	
CoEg_entry_00000025	Amenti	« Occident » (Jmnt.t), c'est-à-dire l'au-delà			
CoEg_entry_00000026	modius	Mesure de céréales	https://www.cnrtl.fr/definition/Modius		
CoEg_entry_00000027	mastaba	De l'arabe مصطبة [maṣṭabah] « banquette » ; désigne les tombes de particuliers à l'Ancien Empire, à la superstructure massive de briques	https://www.cnrtl.fr/definition/mastaba	https://www.wikidata.org/wiki/Q180927	Mariette est à l'origine de la popularité de cette expression
CoEg_entry_00000028	sérapéum	Temple du dieu Sérapis	https://www.cnrtl.fr/definition/s%C3%A9rap%C3%A9um	https://www.wikidata.org/wiki/Q281132	
CoEg_entry_00000029	pharaon	Roi d'Égypte	https://www.cnrtl.fr/definition/pharaon	https://www.wikidata.org/wiki/Q37110	
CoEg_entry_00000030	confer	Du latin, « comparez »		https://www.wikidata.org/wiki/Q1048501	
CoEg_entry_00000031	desiderata	Du latin, « choses dont on regrette l'absence » ; lacune ou besoin	https://www.cnrtl.fr/definition/desiderata		
CoEg_entry_00000032	hypogée	Tombe souterraine	https://www.cnrtl.fr/definition/hypog%C3%A9e	https://www.wikidata.org/wiki/Q665247	
CoEg_entry_00000033	in-octavo	Format d'impression dans lequel la feuille est pliée trois fois de manière à former huit feuillets (ou seize pages)	https://www.cnrtl.fr/definition/in-octavo	https://www.wikidata.org/wiki/Q1307353	
CoEg_entry_00000034	vade-mecum	Du latin, « allez avec moi » ; objet à usage personnel que l'on garde avec soi	https://www.cnrtl.fr/definition/vade-mecum		
CoEg_entry_00000035	apiéum	Temple d'Apis			
CoEg_entry_00000036	hiérodule	Servant de temple	https://www.cnrtl.fr/definition/hi%C3%A9rodule		
CoEg_entry_00000037	choéphore	Porteur d'offrande funéraire	https://www.cnrtl.fr/definition/cho%C3%A9phore		
CoEg_entry_00000038	quipo	Système de notation utilisé par les Incas au moyen de cordelettes nouées	https://www.cnrtl.fr/definition/quipo//0	https://www.wikidata.org/wiki/Q185292	
CoEg_entry_00000039	sultan	De l'arabe سُلْطَان [sulṭān] « autorité » ; souverain de l'Empire ottoman	https://www.cnrtl.fr/definition/sultan	https://www.wikidata.org/wiki/Q43292	
