id	Translittération	Traduction	note	note type="Mariette"	URL TLA	URL AVW
CoEg_aeg_00000001	ḥb	fête			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=850654&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=850654
CoEg_aeg_00000002	Ḥp	Apis			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=104000&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=104000
CoEg_aeg_00000003	ḥwt	temple			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=99790&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=99790
CoEg_aeg_00000004	ꜥḥ	palais			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=39850&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=39850
CoEg_aeg_00000005	ḥm	servant, prêtre			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=104680&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=104680
CoEg_aeg_00000006	m	dans			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=64360&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=64360
CoEg_aeg_00000007	sꜣ	fils			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=125510&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=125510
CoEg_aeg_00000008	wḥm	renouveler			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=48440&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=48440
CoEg_aeg_00000009	ꜥnḫ	vie			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=38540&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=38540
CoEg_aeg_00000010	n	pour, de			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=78870&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=78870
CoEg_aeg_00000011	Ptḥ	Ptah			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=62980&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=62980
CoEg_aeg_00000012	ꜥḥꜥ(w)	durée de vie			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=40480&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=40480
CoEg_aeg_00000013	nfr	(être) beau, bon, bien, parfait			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=854519&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=854519
CoEg_aeg_00000014	nṯr	dieu			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=90260&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=90260
CoEg_aeg_00000015	pn	ce			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=59920&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=59920
CoEg_aeg_00000016	rnpt	année			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=94920&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=94920
CoEg_aeg_00000017	tm	(être) complet, achevé, total			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=172000&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=172000
CoEg_aeg_00000018	ḫprw	advenir, apparaître, se manifester			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=116300&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=116300
CoEg_aeg_00000019	Wnn-nfr	Ounennéfer			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=850648&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=850648
CoEg_aeg_00000020	Ꞽw·f-ꜥnḫ	Ioufânkh, nom masculin			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=701657&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=701657
CoEg_aeg_00000021	mꜣꜥ-ḫrw	juste de voix			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=66750&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=66750
CoEg_aeg_00000022	gm	trouver			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=167210&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=167210
CoEg_aeg_00000023	Ꞽmntt	Occident			http://aaew.bbaw.de/tla/servlet/GetWcnDetails?u=guest&f=0&l=0&wn=26180&db=0	http://awv.informatik.uni-leipzig.de/awv/links?word=26180
