letter_id	letter_title	authority	ms_id	id repository	repository	settlement	idno	locus	creation	date	author_id	author	author_BNF_URL	author_certainty	place_id	lat	lon	place	place_GeoName_URL	place_certainty	recipient_id	recipient	recipient_BNF_URL	recipient_certainty
CoEg_Mariette_1846-04-13	Le 13 avril 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-04-13	13 avril 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1846-05-24	Le 24 mai 1846, de Boulogne-sur-Mer, à Camaret, recteur de l’académie de Douai	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-05-24	24 mai 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000093	Camaret, Louis	https://catalogue.bnf.fr/ark:/12148/cb102117199	certain
CoEg_Mariette_1846-05-25	Le 25 mai 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-05-25	25 mai 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1846-09-29	Le 29 septembre 1846, de Boulogne-sur-Mer, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1846-09-29	29 septembre 1846	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000035	50.72556 	1.61389 	Boulogne-sur-Mer	https://www.geonames.org/6439391	certain	CoEg_pers_00000090	Salvandy (de), Narcisse-Achille	https://catalogue.bnf.fr/ark:/12148/cb130079493	certain
CoEg_Mariette_1849-10-20	Le 20 octobre 1849, de Paris, à Longpérier	Thomas Lebée	CoEg_Mariette_ms_001	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	20150497/118, dossier 145 « Mariette, Auguste »	n. p.	1849-10-20	20 octobre 1849	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000033	Longpérier (de), Adrien	https://catalogue.bnf.fr/ark:/12148/cb12568704s	certain
CoEg_Mariette_1850-05-20	Le 20 mai 1850, de Paris, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1850-05-20	20 mai 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000003	Esquirou de Parieu, Félix	https://catalogue.bnf.fr/ark:/12148/cb13475874p	certain
CoEg_Mariette_1850-07-06	Le 6 juillet 1850, de Paris, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1850-07-06	6 juillet 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000003	Esquirou de Parieu, Félix	https://catalogue.bnf.fr/ark:/12148/cb13475874p	certain
CoEg_Mariette_1850-07-08	Le 8 juillet 1850, de Paris, à Nieuwerkerke	Thomas Lebée	CoEg_Mariette_ms_001	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	20150497/118, dossier 145 « Mariette, Auguste »	n. p.	1850-07-08	8 juillet 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000002	Nieuwerkerke (de), Émilien	https://catalogue.bnf.fr/ark:/12148/cb12969884g	certain
CoEg_Mariette_1850-08-27	Le 27 août 1850, de Paris, au ministre de l’Instruction publique	Thomas Lebée	CoEg_Mariette_ms_002	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	F/17/2988/1, dossier « Mariette »	n. p.	1850-08-27	27 août 1850	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000002	48.856944444444	2.3513888888889	Paris	http://www.geonames.org/2988507	certain	CoEg_pers_00000003	Esquirou de Parieu, Félix	https://catalogue.bnf.fr/ark:/12148/cb13475874p	certain
CoEg_Mariette_1851-02-28	Le 28 février 1851, de Saqqarah, à Nieuwerkerke	Thomas Lebée	CoEg_Mariette_ms_001	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	20150497/118, dossier 145 « Mariette, Auguste »	n. p.	1851-02-28	28 février 1851	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000001	29.85	31.233333333333	Saqqarah	http://www.geonames.org/349608	certain	CoEg_pers_00000002	Nieuwerkerke (de), Émilien	https://catalogue.bnf.fr/ark:/12148/cb12969884g	certain
CoEg_Mariette_1851-08-31	Le 31 août 1851, de Saqqarah, à Nieuwerkerke	Thomas Lebée	CoEg_Mariette_ms_001	CoEg_org_00000024	Archives nationales	Pierrefitte-sur-Seine	20150497/118, dossier 145 « Mariette, Auguste »	n. p.	1851-08-31	31 août 1851	CoEg_pers_00000001	Mariette [Pacha], Auguste	https://viaf.org/viaf/2521520	certain	CoEg_place_00000001	29.85	31.233333333333	Saqqarah	http://www.geonames.org/349608	certain	CoEg_pers_00000002	Nieuwerkerke (de), Émilien	https://catalogue.bnf.fr/ark:/12148/cb12969884g	certain
