person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	dataBnF	IDRef	VIAF	idno Wikidata
CoEg_pers_00000001	contemp	Mariette [Pacha], Auguste	Égyptologue	1821	1881	Inventeur du Sérapéum et fondateur du service des antiquités de l’Égypte		https://catalogue.bnf.fr/ark:/12148/cb12213258k	https://data.bnf.fr/ark:/12148/cb12213258k	https://www.idref.fr/030787130	https://viaf.org/viaf/2521520	https://www.wikidata.org/wiki/Q311850
CoEg_pers_00000002	contemp	Nieuwerkerke (de), Émilien	Artiste et haut fonctionnaire	1811	1892	Successivement directeur général des musées, intendant des beaux-arts et surintendant des musées impériaux		https://catalogue.bnf.fr/ark:/12148/cb12969884g	https://data.bnf.fr/ark:/12148/cb12969884g	https://www.idref.fr/035300310	https://viaf.org/viaf/39508958	https://www.wikidata.org/wiki/Q1232403
CoEg_pers_00000003	contemp	Esquirou de Parieu, Félix	Homme d'État	1815	1893	Ministre français de l’Instruction publique en 1850		https://catalogue.bnf.fr/ark:/12148/cb13475874p	https://data.bnf.fr/ark:/12148/cb13475874p	https://www.idref.fr/096198931	https://viaf.org/viaf/49372727	https://www.wikidata.org/wiki/Q535804
CoEg_pers_00000004	contemp	Baroche, Jules	Homme d'État	1802	1870	Ministre français de l’Intérieur en 1850		https://catalogue.bnf.fr/ark:/12148/cb14435719k	https://data.bnf.fr/ark:/12148/cb14435719k	https://www.idref.fr/066962862	https://viaf.org/viaf/66683795	https://www.wikidata.org/wiki/Q3385651
CoEg_pers_00000005	contemp	Mariette (née Millon), Éléonore		1827	1865		Épouse de Mariette					
CoEg_pers_00000006	contemp	Mariette, Marguerite Louise		1846	1861		Fille de Mariette					
CoEg_pers_00000007	contemp	Mariette, Joséphine Cornélie		1847	1873		Fille de Mariette					
CoEg_pers_00000008	contemp	Mariette, Sophie Éléonore		1849	1885		Fille de Mariette					
CoEg_pers_00000009	hist	Néphéritès Ier	Roi égyptien			(XXIXe dynastie)						https://www.wikidata.org/wiki/Q450994
CoEg_pers_00000010	hist	Amyrtée	Roi égyptien			(XXVIIIe dynastie)	Identifié par Mariette à Nectanébo Ier (cf. Mariette, Auguste, « Lettre de M. Auguste Mariette à M. le victomte de Rougé, sur les résultats des fouilles entreprises par ordre du vice-roy d'Égypte », Revue archéologique, 1860, 2e série, t. 2, p. 17-35, p. 34 [https://gallica.bnf.fr/ark:/12148/bpt6k9748264q/f48.item] ; Le Sérapéum de Memphis, Gide, Paris, 1857-1866, p. 5 [https://gallica.bnf.fr/ark:/12148/bpt6k5806994z/f20.image])				https://viaf.org/viaf/188145911093727060710	https://www.wikidata.org/wiki/Q318000
CoEg_pers_00000011	myth	Apis	Taureau sacré de Ptah à Memphis					https://catalogue.bnf.fr/ark:/12148/cb124694130	https://data.bnf.fr/ark:/12148/cb124694130	https://www.idref.fr/033882436	https://viaf.org/viaf/208002579	https://www.wikidata.org/wiki/Q208150
